"Time (s) Run #1";"Period (s) Run #1"
1,546;1,2392
2,785;1,2392
4,024;1,2392
5,263;1,2392
6,503;1,2393
7,742;1,2392
8,981;1,2392
10,220;1,2391
11,459;1,2391
12,698;1,2391
13,937;1,2391
15,176;1,2392
16,416;1,2391
17,655;1,2390
18,894;1,2390
20,133;1,2391
21,372;1,2392
22,611;1,2389
23,850;1,2391
25,089;1,2390
26,328;1,2390
27,567;1,2390
28,806;1,2389
30,045;1,2390
31,284;1,2390
32,523;1,2390
33,762;1,2390
35,000;1,2388
36,239;1,2388
37,478;1,2387
38,717;1,2387
39,955;1,2389
41,194;1,2387
42,433;1,2389
43,672;1,2386
44,910;1,2387
46,149;1,2385
47,387;1,2386
48,626;1,2386
49,865;1,2386
51,103;1,2387
52,342;1,2385
53,580;1,2383
54,819;1,2384
56,057;1,2385
57,295;1,2384
58,534;1,2384
59,772;1,2385
61,011;1,2384
62,249;1,2381
63,487;1,2381
64,725;1,2383
65,964;1,2383
67,202;1,2380
68,440;1,2384
69,678;1,2378
70,916;1,2381
72,154;1,2381
73,392;1,2381
74,630;1,2380
75,868;1,2379
77,106;1,2378
