"Time (s) Run #1";"Period (s) Run #1"
1,442;1,4020
2,844;1,4018
4,246;1,4019
5,647;1,4018
7,050;1,4023
8,452;1,4017
9,853;1,4018
11,256;1,4022
12,657;1,4018
14,059;1,4019
15,461;1,4020
16,863;1,4019
18,265;1,4020
19,667;1,4016
21,069;1,4021
22,471;1,4019
23,872;1,4017
25,274;1,4020
26,676;1,4020
28,078;1,4018
29,480;1,4018
30,882;1,4021
32,284;1,4018
33,686;1,4018
35,088;1,4018
36,490;1,4019
37,891;1,4018
39,293;1,4017
40,695;1,4021
42,097;1,4019
43,499;1,4018
44,900;1,4016
46,302;1,4018
47,704;1,4018
49,106;1,4016
50,507;1,4017
51,909;1,4018
53,311;1,4017
54,713;1,4017
56,114;1,4018
57,516;1,4017
58,918;1,4018
60,320;1,4017
61,721;1,4017
63,123;1,4016
64,524;1,4016
65,926;1,4016
67,328;1,4019
68,730;1,4016
70,131;1,4018
71,533;1,4017
72,934;1,4015
74,336;1,4015
75,738;1,4016
77,139;1,4015
78,541;1,4015
79,942;1,4015
81,344;1,4016
82,745;1,4012
84,146;1,4012
