"Time (s) Run #1";"Period (s) Run #1"
1,750;1,4036
3,154;1,4034
4,557;1,4033
5,961;1,4036
7,364;1,4035
8,768;1,4035
10,171;1,4033
11,575;1,4038
12,978;1,4036
14,382;1,4034
15,785;1,4034
17,189;1,4036
18,592;1,4034
19,996;1,4034
21,399;1,4035
22,803;1,4035
24,206;1,4033
25,609;1,4034
27,013;1,4035
28,416;1,4034
29,820;1,4033
31,223;1,4034
32,626;1,4035
34,030;1,4033
35,433;1,4033
36,836;1,4034
38,240;1,4034
39,643;1,4033
41,046;1,4034
42,450;1,4034
43,853;1,4033
45,256;1,4033
46,660;1,4034
48,063;1,4033
49,466;1,4033
50,870;1,4033
52,273;1,4033
53,676;1,4033
55,080;1,4032
56,483;1,4033
57,886;1,4033
59,290;1,4033
60,693;1,4032
62,096;1,4033
63,499;1,4033
64,903;1,4033
66,306;1,4031
67,709;1,4033
69,112;1,4033
70,515;1,4032
71,919;1,4033
73,322;1,4033
74,725;1,4032
76,128;1,4032
77,532;1,4033
78,935;1,4032
80,338;1,4032
81,741;1,4032
83,145;1,4032
84,548;1,4032
85,951;1,4032
87,354;1,4033
88,758;1,4033
90,161;1,4031
91,564;1,4032
92,967;1,4032
94,370;1,4031
95,773;1,4030
97,176;1,4032
98,580;1,4032
99,983;1,4031
101,386;1,4032
102,789;1,4034
104,192;1,4030
105,595;1,4031
106,999;1,4032
108,402;1,4032
109,805;1,4030
111,208;1,4032
112,611;1,4031
114,014;1,4031
115,417;1,4030
116,820;1,4030
118,223;1,4031
119,626;1,4031
121,029;1,4030
122,432;1,4029
123,835;1,4032
125,239;1,4031
126,641;1,4028
