"Time (s) Run #1";"Period (s) Run #1"
1,714;1,4479
3,161;1,4471
4,609;1,4477
6,057;1,4477
7,504;1,4472
8,952;1,4477
10,399;1,4475
11,847;1,4473
13,294;1,4477
14,742;1,4474
16,189;1,4474
17,637;1,4476
19,084;1,4474
20,532;1,4476
21,979;1,4475
23,427;1,4473
24,874;1,4476
26,322;1,4475
27,769;1,4474
29,217;1,4476
30,664;1,4474
32,111;1,4475
33,559;1,4475
35,006;1,4474
36,454;1,4475
37,901;1,4475
39,349;1,4474
40,796;1,4475
42,244;1,4474
43,691;1,4475
45,139;1,4475
46,586;1,4474
48,034;1,4475
49,481;1,4474
50,928;1,4473
52,376;1,4475
53,823;1,4474
55,271;1,4474
56,718;1,4474
58,165;1,4474
59,613;1,4474
61,060;1,4474
62,507;1,4474
63,955;1,4474
65,402;1,4474
66,850;1,4474
68,297;1,4474
69,744;1,4473
71,192;1,4474
72,639;1,4474
74,086;1,4473
75,534;1,4474
76,981;1,4473
78,429;1,4474
79,876;1,4474
81,323;1,4473
82,771;1,4474
84,218;1,4474
85,665;1,4473
87,113;1,4474
88,560;1,4473
90,007;1,4474
91,455;1,4473
92,902;1,4473
94,349;1,4471
95,796;1,4474
97,244;1,4473
