"Time (s) Run #1";"Period (s) Run #1";"Time (s) Run #2";"Period (s) Run #2";"Time (s) Run #3";"Period (s) Run #3";"Time (s) Run #4";"Period (s) Run #4";"Time (s) Run #5";"Period (s) Run #5"
1,565;1,4986;1,819;1,4994;1,863;1,4999;2,267;1,5028;1,940;1,5086
3,062;1,4972;3,317;1,4976;3,363;1,4998;3,770;1,5024;3,449;1,5089
4,560;1,4979;4,816;1,4992;4,864;1,5010;5,273;1,5030;4,958;1,5086
6,058;1,4972;6,316;1,4993;6,364;1,4994;6,775;1,5023;6,466;1,5087
7,556;1,4984;7,814;1,4982;7,864;1,5005;8,278;1,5027;7,975;1,5084
9,053;1,4966;9,312;1,4987;9,364;1,5000;9,780;1,5027;9,483;1,5086
10,551;1,4986;10,812;1,4990;10,864;1,5002;11,283;1,5025;10,992;1,5082
12,048;1,4970;12,310;1,4987;12,364;1,4999;12,785;1,5025;12,500;1,5083
13,546;1,4980;13,809;1,4990;13,864;1,5003;14,288;1,5025;14,008;1,5083
15,043;1,4973;15,308;1,4990;15,364;1,5000;15,790;1,5026;15,516;1,5080
16,541;1,4978;16,807;1,4986;16,864;1,4999;17,293;1,5023;17,024;1,5082
18,039;1,4975;18,306;1,4989;18,365;1,5004;18,795;1,5026;18,532;1,5079
19,536;1,4974;19,805;1,4988;19,864;1,4996;20,298;1,5022;20,040;1,5080
21,034;1,4979;21,303;1,4986;21,365;1,5004;21,800;1,5025;21,548;1,5078
22,531;1,4971;22,802;1,4988;22,864;1,4996;23,302;1,5022;23,056;1,5079
24,029;1,4982;24,301;1,4989;24,365;1,5003;24,805;1,5023;24,564;1,5077
25,526;1,4970;25,800;1,4986;25,864;1,4997;26,307;1,5023;26,071;1,5077
27,024;1,4982;27,298;1,4988;27,365;1,5002;27,809;1,5022;27,579;1,5077
28,522;1,4970;28,797;1,4988;28,864;1,4998;29,311;1,5023;29,087;1,5074
30,020;1,4981;30,296;1,4987;30,364;1,5000;30,813;1,5020;30,594;1,5076
31,517;1,4971;31,795;1,4987;31,864;1,5000;32,316;1,5023;32,101;1,5073
33,014;1,4978;33,293;1,4986;33,364;1,4998;33,818;1,5020;33,609;1,5074
34,512;1,4974;34,792;1,4988;34,864;1,5001;35,320;1,5022;35,116;1,5072
36,009;1,4975;36,291;1,4988;36,364;1,4996;36,822;1,5020;36,623;1,5072
37,507;1,4978;37,790;1,4987;37,864;1,5002;38,324;1,5021;38,130;1,5072
39,004;1,4972;39,288;1,4987;39,364;1,4996;39,826;1,5020;39,638;1,5071
